date,Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb,ChlFluor,P,P_lag1,P_lag2,P_3d,P_7d,P_extreme,chl_sat
2017-05-08,21.65520833333333,41.87072916666667,26.93958333333333,87.996875,6.598958333333333,1.4508333333333334,,7.957291666666666,7.0978260869565215,8.598958333333334,0.0,0.23082285,8.387753,8.618575849999992,37.287102230000016,0,1.4211082458496094
2017-05-09,21.76354166666667,43.7015625,28.246875,83.75208333333333,6.232291666666666,1.4753125,,7.955208333333334,7.11578947368421,7.270833333333333,1.1530411,0.0,0.23082285,1.383863949999993,37.17026093000002,0,2.355595588684082
2017-05-10,23.403125,44.09604166666667,28.5,88.48541666666667,6.376041666666667,1.4556250000000002,,7.954166666666667,5.89247311827957,6.45,0.1272137,1.1530411,0.0,1.280254799999993,37.29747463000002,0,0.8509777188301086
2017-05-11,24.45833333333333,44.133229166666666,28.510416666666668,83.54270833333334,5.909375,1.4023958333333333,,7.916666666666667,6.571428571428571,7.28125,3.0874317,0.1272137,1.1530411,4.3676864999999925,40.21727835000001,0,0.0722079426050186
2017-05-12,23.80625,46.71270833333333,30.378125,81.60000000000001,5.790625,1.5451041666666665,,7.931249999999999,5.536842105263158,5.995833333333334,3.5941637,3.0874317,0.1272137,6.808809099999992,16.580426050000014,0,
2017-05-13,23.409375,47.76510416666667,31.141666666666666,75.57395833333334,5.382291666666667,1.50125,,7.89375,5.268817204301075,5.167708333333334,4.436158,3.5941637,3.0874317,11.117753399999993,12.628831050000015,0,
2017-05-14,23.664583333333336,48.01739583333333,31.315625,82.496875,5.8125,1.5271875,,7.913541666666667,7.043010752688172,5.569791666666667,0.65390784,4.436158,3.5941637,8.684229539999993,13.051916040000016,0,3.013179063796997
2017-05-15,24.27916666666667,46.51114583333333,30.21770833333333,86.62708333333335,6.075,1.48125,,7.898958333333333,6.336842105263158,6.235416666666667,0.0,0.65390784,4.436158,5.090065839999992,13.051916040000016,0,2.7633345127105717
2017-05-16,25.930208333333336,46.64479166666666,30.272916666666664,86.84479166666667,5.929166666666667,1.502916666666667,,7.920833333333333,6.40625,6.445833333333333,0.0,0.0,0.65390784,0.6539078399999929,11.898874940000015,0,1.9539254903793333
2017-05-17,26.72395833333333,44.54,28.735416666666666,83.284375,5.661458333333333,1.403125,,7.894791666666666,9.51578947368421,6.7250000000000005,0.0,0.0,0.0,0.0,11.771661240000014,0,2.1692512035369877
2017-05-18,26.6625,41.961875,26.898958333333336,77.7,5.3375,1.3688541666666667,,7.889583333333333,9.6,10.451041666666669,0.35794353,0.0,0.0,0.3579435299999929,9.042173070000015,0,1.881079912185669
2017-05-19,25.926041666666663,41.043645833333336,26.26458333333333,73.10000000000001,5.105208333333334,1.3598958333333335,,7.891666666666667,10.387096774193548,10.35,0.95428455,0.35794353,0.0,1.312228079999993,6.402293920000015,0,2.7838680744171143
2017-05-20,26.105208333333334,42.318125,27.167708333333334,73.16666666666667,5.147222222222222,1.3939583333333332,,7.901041666666667,9.057142857142855,10.48125,2.4526796,0.95428455,0.35794353,3.764907679999993,4.418815520000015,0,0.6038062572479248
2017-05-21,25.273958333333336,46.91297872340425,30.503191489361704,,,1.585625,,7.939583333333334,,8.303125,0.3598199,2.4526796,0.95428455,3.7667840499999934,4.124727580000014,0,4.350892066955566
2017-05-22,25.078125,48.30129032258065,31.504301075268817,,,1.5822916666666669,,7.957291666666666,,7.872916666666666,2.4190133,0.3598199,2.4526796,5.231512799999994,6.543740880000015,0,
2017-05-23,24.171875,45.208020833333336,29.303125,,,1.4695833333333337,,7.897916666666667,,9.535416666666666,41.94507,2.4190133,0.3598199,44.723903199999995,48.48881088000002,1,1.7892796993255615
2017-05-24,24.20208333333333,46.09708333333333,29.938541666666666,,,1.4572916666666669,,7.884374999999999,,11.475,32.141644,41.94507,2.4190133,76.50572729999999,80.63045488000002,1,
2017-05-25,23.954166666666666,46.88947916666667,30.50520833333333,,,1.3741666666666663,,7.867999999999999,,13.936,20.217855,32.141644,41.94507,94.30456899999999,100.49036635000002,1,2.232529401779175
2017-05-26,23.601041666666664,48.92947916666666,31.990625,,,1.4145833333333335,,,,,0.00027225286,20.217855,32.141644,52.35977125285999,99.53635405286002,0,1.3792344331741333
2017-05-27,24.803125,50.46458333333334,33.088541666666664,,,1.4779166666666663,,,,,0.014899153,0.00027225286,20.217855,20.23302640585999,97.09857360586001,0,1.4204930067062378
2017-05-28,25.672916666666666,49.93427083333333,32.68333333333333,,,1.4472916666666666,,,,,4.4319153,0.014899153,0.00027225286,4.447086705859993,101.17066900586002,0,
