date,Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb,ChlFluor
2014-01-01,12.388541666666667,50.85104166666667,33.29895833333333,92.76875,8.051041666666666,1.4256250000000001,,7.969791666666667,5.729166666666667,
2014-01-02,12.536458333333334,50.814479166666665,33.276041666666664,90.64999999999999,7.836458333333333,1.3259375,,7.971875,5.178947368421053,
2014-01-03,11.251041666666666,50.358645833333334,32.887499999999996,94.52291666666667,8.434375000000001,1.2634375,,7.986458333333334,5.572916666666667,
2014-01-04,9.614583333333334,52.13520833333333,34.05625,97.41979166666665,8.933333333333334,1.6077083333333333,,8.064583333333333,3.625,
2014-01-05,11.014583333333334,52.043958333333336,34.09166666666667,97.35520833333334,8.653125000000001,1.6030208333333331,,8.007291666666667,2.03125,
2014-01-06,11.819791666666667,50.15208333333334,32.76979166666667,96.15416666666665,8.469791666666667,1.3085416666666667,,7.986458333333334,2.75,
2014-01-07,7.441666666666666,48.609375,31.327083333333334,95.965625,9.408333333333333,1.3186458333333333,,8.051041666666666,4.291666666666667,
2014-01-08,7.109375,48.022083333333335,30.89270833333333,96.78645833333333,9.582291666666666,1.4400000000000002,,8.077083333333333,2.1354166666666665,
2014-01-09,7.3656250000000005,46.6975,29.984375,98.30729166666667,9.736458333333333,1.4116666666666668,,8.082291666666666,3.5416666666666665,
2014-01-10,9.878124999999999,45.36052083333333,29.207291666666666,100.57604166666665,9.461458333333333,1.4002083333333333,,8.05625,1.2291666666666667,
2014-01-11,12.984375,41.726875,26.7625,98.04895833333335,8.759375,1.2533333333333332,,7.957291666666666,2.8645833333333335,
2014-01-12,13.35,41.79197916666667,26.815625,95.10833333333333,8.419791666666667,1.1615625,,7.9375,3.9479166666666665,
2014-01-13,12.722916666666668,45.539375,29.476041666666664,96.48854166666666,8.505208333333334,1.3398958333333333,,7.983333333333333,3.3229166666666665,
2014-01-14,13.0875,45.12145833333333,29.197916666666668,92.45729166666666,8.109375,1.2652083333333333,,7.9750000000000005,2.375,
2014-01-15,12.700000000000001,45.9165625,29.757291666666664,95.34583333333335,8.393749999999999,1.328125,,7.98125,2.5,
2014-01-16,11.592708333333334,47.568645833333335,30.897916666666664,94.87708333333335,8.504166666666666,1.3760416666666666,,7.9837209302325585,1.6818181818181819,
2014-01-17,10.895833333333334,47.696041666666666,30.93958333333333,98.38020833333333,8.934375000000001,1.351875,,,0.0,
2014-01-18,10.572916666666666,44.257083333333334,28.483333333333334,99.63229166666667,9.264583333333333,1.1591666666666667,,,1.7179487179487178,
2014-01-19,9.737499999999999,44.051562499999996,28.28125,100.46875,9.503124999999999,1.2761458333333333,,,0.5135135135135135,
2014-01-20,10.291666666666666,42.56635416666666,27.260416666666668,103.434375,9.735416666666667,1.2138541666666667,,,0.42105263157894735,
2014-01-21,10.790625,38.379375,24.359375,101.89270833333335,9.666666666666666,1.1500000000000001,,,0.9302325581395349,
2014-01-22,9.298958333333333,41.73770833333334,26.663541666666664,101.45729166666666,9.810416666666667,1.3466666666666667,,,1.2444444444444445,
2014-01-23,8.511458333333334,45.12322916666667,28.962500000000002,102.28125,9.932291666666666,1.476875,,,6.0,
2014-01-24,6.8875,46.7534375,29.971875,102.16145833333333,10.232291666666667,1.4590625,,,1.0714285714285714,
2014-01-25,6.044791666666666,45.657916666666665,29.119791666666668,98.19791666666667,10.088541666666666,1.175,,,0.8518518518518519,
2014-01-26,6.504166666666666,40.663020833333334,25.67395833333333,98.01770833333335,10.176041666666666,1.130625,,,1.0833333333333333,
2014-01-27,8.732291666666667,41.89697916666667,26.707291666666666,99.546875,9.75625,1.1734375000000001,,,0.868421052631579,
2014-01-28,7.905208333333333,47.9534375,30.91979166666667,94.74166666666667,9.2125,1.4345833333333333,,,1.3548387096774193,
2014-01-29,5.825,51.10697916666667,32.94583333333333,96.34479166666667,9.706249999999999,1.4603125,,,0.5949367088607594,
2014-01-30,5.804166666666667,52.212291666666665,33.72291666666667,98.265625,9.85,1.4844791666666666,,,0.36666666666666664,
2014-01-31,7.547916666666667,52.048229166666665,33.79895833333333,103.43958333333335,9.920833333333333,1.4024999999999999,,,0.559322033898305,
2014-02-01,7.941666666666666,52.0078125,33.829166666666666,99.83645833333333,9.498958333333333,1.3515625,,,0.2391304347826087,
2014-02-02,9.704166666666667,51.630625,33.684374999999996,103.50208333333335,9.458333333333334,1.2669791666666665,,,0.47058823529411764,
2014-02-03,10.889583333333334,51.22510416666666,33.47604166666667,102.48125,9.152083333333334,1.2415625,,,0.05714285714285714,
2014-02-04,9.905208333333333,51.2321875,33.432291666666664,98.32708333333333,8.986458333333333,1.4213541666666665,,,0.043478260869565216,
2014-02-05,10.694736842105263,51.9346,33.904,96.86947368421053,8.718947368421052,1.3467368421052632,,8.088888888888889,,
2014-02-06,10.101041666666667,,,96.67395833333335,8.877083333333333,1.4792708333333333,,8.060416666666667,,
2014-02-07,9.0625,,,98.31145833333333,9.190624999999999,1.5770833333333334,,8.101041666666665,,
2014-02-08,8.635416666666666,,,97.19583333333333,9.194791666666667,1.57625,,8.098958333333334,,
2014-02-09,8.598958333333334,,,98.328125,9.340625000000001,1.5261458333333333,,8.1,,
2014-02-10,9.216666666666667,,,99.03333333333335,9.34375,1.4435416666666667,,8.097916666666666,,
2014-02-11,7.577083333333333,,,92.97604166666667,9.030208333333333,1.6764583333333334,,8.096874999999999,,
2014-02-12,5.9156249999999995,,,92.97604166666667,9.334375,1.7803125,,8.0875,,
2014-02-13,5.716666666666666,,,93.71145833333333,9.483333333333333,1.3940625000000002,,8.030208333333333,,
