time,precip
2014-08-12,2.686901
2014-08-13,8.308188
2014-08-14,0.24667357
2014-08-15,0.071186826
2014-08-16,3.6670334
2014-08-17,0.19938228
2014-08-18,4.771302
2014-08-19,15.335731
2014-08-20,2.3182771
2014-08-21,1.195844
2014-08-22,3.586712
2014-08-23,1.319128
2014-08-24,0.34385008
2014-08-25,0.0
2014-08-26,0.0
2014-08-27,0.030507887
2014-08-28,0.014739199
2014-08-29,0.45324892
2014-08-30,0.5461857
2014-08-31,0.025527842
2014-09-01,0.05638812
2014-09-02,0.65438354
2014-09-03,0.7732021
2014-09-04,5.100684
2014-09-05,4.159718
2014-09-06,1.0193043
2014-09-07,9.998992
2014-09-08,18.446169
2014-09-09,13.580175
2014-09-10,0.6504834
2014-09-11,0.0205035
2014-09-12,2.0470443
2014-09-13,4.303876
2014-09-14,4.875545
2014-09-15,0.6207932
2014-09-16,1.6618601
2014-09-17,5.425717
2014-09-18,0.4339119
2014-09-19,1.4358176
2014-09-20,13.224219
2014-09-21,8.873926
2014-09-22,0.027119419
2014-09-23,23.39113
2014-09-24,25.494928
2014-09-25,6.1494756
2014-09-26,5.5217733
2014-09-27,0.04115685
2014-09-28,0.11604094
2014-09-29,7.106345
2014-09-30,4.198945
2014-10-01,0.0
2014-10-02,0.0
2014-10-03,0.13125248
2014-10-04,9.144428
2014-10-05,0.0
2014-10-06,0.0
2014-10-07,10.0869255
2014-10-08,0.12581205
2014-10-09,0.40746745
2014-10-10,0.43598345
2014-10-11,1.7145474
2014-10-12,1.4065301
2014-10-13,0.5337778
2014-10-14,0.5961083
2014-10-15,22.04064
2014-10-16,7.8257365
2014-10-17,0.0
2014-10-18,0.0
2014-10-19,0.50963145
2014-10-20,0.047080945
2014-10-21,1.2815628
2014-10-22,0.94459
2014-10-23,0.101578034
2014-10-24,0.66322464
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,0.0
2014-10-28,0.009751758
2014-10-29,2.0582235
2014-10-30,1.729481
2014-10-31,4.8331685
2014-11-01,0.0
2014-11-02,0.57295364
2014-11-03,0.0
2014-11-04,0.04444098
2014-11-05,8.26068
2014-11-06,6.5961766
2014-11-07,0.012586648
2014-11-08,0.29381764
2014-11-09,4.2685995
2014-11-10,4.023624
2014-11-11,11.70846
2014-11-12,0.63595617
2014-11-13,0.0
2014-11-14,1.1841667
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,2.2344043
2014-11-18,7.270961
2014-11-19,0.0
2014-11-20,0.0
2014-11-21,0.0
2014-11-22,0.0
2014-11-23,22.170628
2014-11-24,13.3218775
2014-11-25,11.157712
2014-11-26,35.614952
2014-11-27,0.0
2014-11-28,0.0
2014-11-29,0.076986186
2014-11-30,0.0
2014-12-01,0.0
2014-12-02,0.14671388
2014-12-03,0.38085404
2014-12-04,1.7647233
2014-12-05,0.7056148
2014-12-06,5.1525507
2014-12-07,4.1752276
2014-12-08,0.14612284
2014-12-09,3.929241
2014-12-10,0.030691626
2014-12-11,0.08071605
2014-12-12,0.17287691
2014-12-13,0.0
2014-12-14,0.0
2014-12-15,0.0
2014-12-16,1.6109124
2014-12-17,0.5313779
2014-12-18,0.16073357
2014-12-19,0.026991505
2014-12-20,4.1997538
2014-12-21,0.06426324
2014-12-22,18.786854
2014-12-23,16.745857
2014-12-24,35.108303
2014-12-25,3.6630435
2014-12-26,0.0040544155
2014-12-27,0.0
2014-12-28,0.06360265
